gene1,gene2,co-expression,BP,CC,MF,label,ppi
CCT8L2,MED9,0.15022958347611995,0.08928571428571429,0.1611111111111111,0.9404761904761906,0,Q96SF2:Q9NWA0
SHC1,CSF3R,-0.06909726087279806,0.28210227272727273,0.5772727272727273,0.6527777777777778,1,P29353:Q99062
GFRA3,DCAF4,0.17458568923643786,0.09090909090909091,0.39285714285714285,1.0,0,O60609:Q8WV16
PSMA1,CLCN2,0.07120035035166786,0.15601422387136674,0.31147186147186146,0.2294990723562152,0,P25786:P51788
RPS6,PA2G4,0.7244298644578464,0.3015079365079365,0.41595238095238096,0.7083333333333333,-1,P62753:Q9UQ80
NDUFB8,NDUFB10,0.3144052367829738,0.3496969696969697,0.6803571428571428,0.1875,1,O95169:O96000
CYP27A1,NELFA,-0.17386835724196223,0.06034080298786181,0.20119047619047617,0.24500000000000002,0,Q02318:Q9H3P2
RPS21,CCDC124,0.34361228568431823,0.14444444444444446,0.47333333333333333,0.6041666666666666,-1,P63220:Q96CT7
HNF4A,PCBP2,-0.2767389642371263,0.15830093710898666,0.6587962962962962,0.5965686274509804,0,P41235:Q15366
ETF1,FAU,0.6362321345982038,0.15317460317460319,0.7694677871148459,0.36904761904761907,-1,P62495:P62861
TRDC,CD3D,0.6533550701978066,0.2691094619666048,0.7244832041343667,0.0,1,B7Z8K6:P04234
CSNK1A1,SLX9,0.4637060287287252,0.1,0.24074074074074078,1.0,-1,P48729:Q9NSI2
SPEGNB,SLC25A26,0.4934062729205947,0.0,0.0,0.10437710437710439,0,A0A087WV53:Q70HW3
RPS17,CSNK1A1,0.5490995884369142,0.1414125729343121,0.7639880952380953,0.1844465058750773,-1,P08708:P48729
FGF2,ABHD3,-0.15895767259219806,0.10858585858585859,0.3333333333333333,0.11166666666666666,0,P09038:Q8WU67
MRPS11,MRPL2,0.7226113044613715,1.0,0.5292424242424242,0.7916666666666666,-1,P82912:Q5T653
PRMT3,RPS2,0.6452727594929814,0.2027777777777778,0.7024363233665558,0.7480769230769231,1,O60678:P15880
POLR1B,IKZF2,0.6847710814871103,0.08333333333333333,0.25,0.7290123456790123,0,Q9H9Y6:Q9UKS7
GNG10,TMEM199,0.4204247134518482,0.10746031746031748,0.2107142857142857,0.95,0,P50151:Q8N511
DUSP14,AOC1,-0.2505475739191905,0.1111111111111111,0.0,0.44090136054421764,0,O95147:P19801
CBLN3,DZIP1,0.3480466448934575,0.10984466921966922,0.36052631578947364,0.0,0,Q6UW01:Q86YF9
SNRNP70,SNRNP40,0.6169516352395789,0.5566666666666666,0.6439440993788818,0.9659090909090909,-1,P08621:Q96DI7
EFNB1,TCIRG1,0.20412954652520202,0.15614947383240063,0.26988888888888884,0.65,0,P98172:Q13488
MBP,CRAT,-0.14773081618263287,0.11726190476190476,0.3194444444444445,0.1146384479717813,0,P02686:P43155
